Brand;Model;Gender;Sport;Price
Adidas;4DFWD 4 ;Men;Running;$ 200,00
Adidas;4DFWD 4 ;Women;Running;$ 200,00
Adidas;4DFWD x STRUNG ;Women;Running;$ 210,00
Adidas;Adifom IIInfinity Mules;Unisex;All;$ 50,00
Adidas;Adifom Iiinfinity Slides;Unisex;All;$ 45,00
Adidas;Adistar 3 ;Women;Running;$ 130,00
Adidas;Adistar 4 ;Men;Running;$ 140,00
Adidas;Adistar 4 ;Women;Running;$ 140,00
Adidas;Adizero Adios Pro 4 ;Men;Running;$ 250,00
Adidas;Adizero Adios Pro 4 ;Women;Running;$ 250,00
Adidas;Adizero Ambition ;Unisex;All;$ 120,00
Adidas;Adizero Boston 12 ;Men;Running;$ 80,00
Adidas;Adizero Boston 12 ;Women;Running;$ 64,00
Adidas;Adizero Boston 13 ;Men;Running;$ 160,00
Adidas;Adizero Boston 13 ;Women;Running;$ 160,00
Adidas;Adizero EVO SL ;Men;Running;$ 150,00
Adidas;Adizero EVO SL ;Women;Running;$ 150,00
Adidas;Adizero Finesse ;Unisex;All;$ 130,00
Adidas;Adizero Prime X 2.0 STRUNG ;Unisex;Running;$ 240,00
Adidas;Adizero Select 3.0 ;Unisex;Basketball;$ 110,00
Adidas;ADIZERO SL W;Women;Running;$ 120,00
Adidas;Adizero SL2;Men;Running;$ 130,00
Adidas;Adizero SL2 ;Women;Running;$ 52,00
Adidas;Adizero Sl2 ;Men;Running;$ 65,00
Adidas;Adizero SL2 Wide ;Men;Running;$ 65,00
Adidas;Adizero Sprintstar ;Unisex;All;$ 70,00
Adidas;Amplimove ;Women;Training;$ 70,00
Adidas;Amplimove Trainer ;Men;Training;$ 70,00
Adidas;Anthony Edwards 1 Low ;Unisex;Basketball;$ 110,00
Adidas;Arizona State Adizero SL2 ;Unisex;Running;$ 70,00
Adidas;Break Start ;Unisex;All;$ 70,00
Adidas;Break Start Mid ;Unisex;All;$ 75,00
Adidas;Break Start Mid ;Women;All;$ 75,00
Adidas;Chrome Anthony Edwards Mid 1 ;Unisex;Basketball;$ 130,00
Adidas;Copa Gloro 2 Firm Ground Cleats;Unisex;Soccer;$ 100,00
Adidas;Copa Gloro II Firm Ground Cleats;Unisex;Soccer;$ 100,00
Adidas;Copa Gloro II Turf ;Unisex;Soccer;$ 100,00
Adidas;Copa Icon 2 Firm Ground Cleats;Unisex;Soccer;$ 180,00
Adidas;Copa Mundial ;Unisex;Soccer;$ 180,00
Adidas;Copa Mundial Cleats;Men;Soccer;$ 180,00
Adidas;Copa Mundial Firm Ground Cleats;Men;Soccer;$ 180,00
Adidas;Copa Pure 3 Elite Firm Ground Cleats;Unisex;Soccer;$ 250,00
Adidas;Copa Pure 3 League Firm/Multi-Ground Cleats;Unisex;Soccer;$ 85,00
Adidas;Copa Pure 3 League Turf ;Unisex;Soccer;$ 85,00
Adidas;Court Stabil Indoor ;Women;All;$ 120,00
Adidas;Court Stabil Indoor ;Men;All;$ 120,00
Adidas;Court Team Bounce 2.0 ;Women;All;$ 85,00
Adidas;Crazy 2.0 ;Unisex;All;$ 160,00
Adidas;Crazy 8 Low ;Unisex;All;$ 120,00
Adidas;Crazy IIInfinity ;Unisex;All;$ 160,00
Adidas;Crazyflight 6 Indoor ;Men;All;$ 140,00
Adidas;Crazyflight 6 Indoor ;Women;All;$ 140,00
Adidas;Crazyflight 6 Mid Indoor ;Women;All;$ 150,00
Adidas;Crazyflight 6 Mid Indoor ;Men;All;$ 150,00
Adidas;D.O.N. Issue 6 ;Unisex;Basketball;$ 120,00
Adidas;D.O.N. Issue 7;Unisex;Basketball;$ 120,00
Adidas;Dame 9 ;Unisex;Basketball;$ 120,00
Adidas;Dame Certified 3 ;Unisex;Basketball;$ 85,00
Adidas;Dame X ;Unisex;Basketball;$ 90,00
Adidas;Dropset 3 ;Women;Training;$ 130,00
Adidas;Dropset 3 ;Unisex;Training;$ 130,00
Adidas;Dropset 3 ;Unisex;All;$ 104,00
Adidas;Dropset 3 ;Women;All;$ 104,00
Adidas;Dropset Control ;Men;Training;$ 90,00
Adidas;Dropset Control ;Women;Training;$ 90,00
Adidas;Duramo 10 ;Women;Running;$ 28,00
Adidas;Duramo 10 ;Men;Running;$ 25,00
Adidas;Duramo SL ;Men;Running;$ 70,00
Adidas;Duramo SL 2 ;Men;Running;$ 70,00
Adidas;Duramo SL 2 ;Women;Running;$ 70,00
Adidas;Duramo SL 2 Wide ;Men;Running;$ 70,00
Adidas;Duramo SL 2 Wide ;Women;Running;$ 70,00
Adidas;Duramo Speed 2 ;Men;Running;$ 90,00
Adidas;Everyset ;Unisex;Training;$ 72,00
Adidas;Everyset ;Women;Training;$ 90,00
Adidas;Exhibit Select 2.0 Pro ;Women;Basketball;$ 130,00
Adidas;F50 Elite Artificial Grass Cleats;Unisex;Soccer;$ 260,00
Adidas;F50 Elite Firm Ground Cleats;Unisex;Soccer;$ 260,00
Adidas;F50 Elite Laceless Artificial Grass Cleats;Unisex;Soccer;$ 260,00
Adidas;F50 Elite Laceless Firm Ground Cleats;Unisex;Soccer;$ 260,00
Adidas;F50 Elite Messi Firm Ground Cleats;Unisex;Soccer;$ 270,00
Adidas;F50 Elite Mid-Cut Firm Ground Cleats;Women;Soccer;$ 260,00
Adidas;F50 League Firm/Multi-Ground Cleats;Unisex;Soccer;$ 90,00
Adidas;F50 League Messi Firm/Multi-Ground Cleats;Unisex;Soccer;$ 95,00
Adidas;F50 League Messi Turf ;Unisex;Soccer;$ 95,00
Adidas;F50 League Mid-Cut Firm/Multi-Ground Cleats;Women;Soccer;$ 90,00
Adidas;F50 League Mid-Cut Turf ;Women;Soccer;$ 90,00
Adidas;F50 Messi Elite Firm Ground Cleats;Unisex;Soccer;$ 270,00
Adidas;F50 Messi Freestyle Indoor ;Unisex;Soccer;$ 100,00
Adidas;F50 Messi League Firm/Multi-Ground Cleats;Unisex;Soccer;$ 95,00
Adidas;F50 Messi League Turf Cleats;Unisex;Soccer;$ 95,00
Adidas;F50 Messi Pro Firm Ground Cleats;Unisex;Soccer;$ 160,00
Adidas;F50 Pro Firm Ground Cleats;Unisex;Soccer;$ 150,00
Adidas;F50 Pro Messi Firm Ground Cleats;Unisex;Soccer;$ 160,00
Adidas;F50 Pro Mid-Cut Firm Ground Cleats;Women;Soccer;$ 150,00
Adidas;F50 Pro Turf ;Unisex;Soccer;$ 140,00
Adidas;F50 Sparkfusion Elite Mid Firm Ground/Artificial Grass Cleats;Women;Soccer;$ 260,00
Adidas;F50 Sparkfusion League Firm Ground/Artificial Grass Cleats;Women;Soccer;$ 90,00
Adidas;F50 Sparkfusion League Turf Cleats;Women;Soccer;$ 90,00
Adidas;F50 Sparkfusion Pro Firm Ground/Artificial Grass Cleats;Women;Soccer;$ 150,00
Adidas;F50+ Firm Ground Cleats;Unisex;Soccer;$ 300,00
Adidas;Fear of God Athletics II ;Unisex;All;$ 180,00
Adidas;Fear of God Athletics II High Top ;Unisex;All;$ 200,00
Adidas;Forum 2000 ;Women;All;$ 110,00
Adidas;Forum 84 Low CL ;Men;All;$ 120,00
Adidas;Forum Bold ;Women;All;$ 110,00
Adidas;Forum Bold Stripes ;Women;All;$ 110,00
Adidas;Forum Low CL ;Men;All;$ 110,00
Adidas;Forum Low CL ;Women;All;$ 100,00
Adidas;Forum Mid ;Men;All;$ 110,00
Adidas;Forum2000 ;Unisex;All;$ 110,00
Adidas;Galaxy 7 ;Men;Running;$ 60,00
Adidas;Galaxy 7 ;Women;Running;$ 60,00
Adidas;GSG-9.2024 Zip Boots;Unisex;Training;$ 200,00
Adidas;Harden Volume 9;Unisex;Basketball;$ 160,00
Adidas;Harden Volume 9 ;Unisex;Basketball;$ 160,00
Adidas;Hoops 4.0 ;Women;All;$ 65,00
Adidas;Hoops 4.0 ;Unisex;All;$ 65,00
Adidas;Hoops 4.0 Mid ;Unisex;All;$ 70,00
Adidas;Hoops 4.0 Mid ;Women;All;$ 70,00
Adidas;Hoops 4.0 W ;Women;All;$ 70,00
Adidas;Indiana Adizero SL2 ;Unisex;Running;$ 140,00
Adidas;Intimidation Low ;Men;All;$ 130,00
Adidas;Jabbar Hi ;Unisex;All;$ 110,00
Adidas;Jabbar Lo;Unisex;All;$ 100,00
Adidas;Jabbar Lo ;Unisex;All;$ 100,00
Adidas;Jeremy Scott Rapidmove Adv 2 ;Men;Training;$ 130,00
Adidas;Jeremy Scott Rapidmove Adv 2 Shoe;Women;Training;$ 130,00
Adidas;Jeremy Scott Superstar 82 Roller Skate ;Unisex;All;$ 200,00
Adidas;Jeremy Scott Superstar II ;Unisex;All;$ 110,00
Adidas;Jogit ;Men;Running;$ 75,00
Adidas;Kansas Adizero SL2 ;Unisex;Running;$ 70,00
Adidas;Legends Low ;Unisex;Basketball;$ 75,00
Adidas;Ligra 8 Indoor ;Women;All;$ 70,00
Adidas;Ligra 8 Indoor ;Men;All;$ 70,00
Adidas;Mad Iiinfinity ;Unisex;All;$ 180,00
Adidas;Mahomes 2 Impact FLX Fairway ;Unisex;All;$ 105,00
Adidas;Mahomes 2 Impact FLX Race Against Time ;Unisex;All;$ 90,00
Adidas;Miami Adizero SL2 ;Unisex;Running;$ 70,00
Adidas;Mundial Goal ;Men;Soccer;$ 160,00
Adidas;Mundial Goal ;Unisex;Soccer;$ 160,00
Adidas;Mundial Team ;Unisex;Soccer;$ 160,00
Adidas;Mundial Team Turf ;Men;Soccer;$ 160,00
Adidas;Nebraska Adizero SL2 ;Unisex;Running;$ 70,00
Adidas;Nova IIInfinity ;Unisex;All;$ 130,00
Adidas;Novaflight 2 Indoor ;Women;All;$ 110,00
Adidas;Predator Club Firm/Multi-Ground Cleats;Unisex;Soccer;$ 65,00
Adidas;Predator Elite Artificial Grass Cleats;Unisex;Soccer;$ 260,00
Adidas;Predator Elite Firm Ground Cleats;Unisex;Soccer;$ 260,00
Adidas;Predator Elite Fold-Over Tongue Firm Ground Cleats;Unisex;Soccer;$ 280,00
