Categoría: Ropa deportiva

Semana,Nike: (Todo el mundo),Puma: (Todo el mundo),Reebok: (Todo el mundo),Adidas: (Todo el mundo)
2020-07-26,68,7,2,30
2020-08-02,70,8,2,30
2020-08-09,72,8,2,31
2020-08-16,70,8,2,33
2020-08-23,72,8,2,32
2020-08-30,74,9,2,33
2020-09-06,72,9,3,32
2020-09-13,66,8,2,30
2020-09-20,71,7,2,31
2020-09-27,75,8,3,34
2020-10-04,75,8,3,32
2020-10-11,71,8,2,31
2020-10-18,69,7,2,31
2020-10-25,70,7,2,29
2020-11-01,70,7,2,29
2020-11-08,68,8,2,31
2020-11-15,70,8,2,30
2020-11-22,89,8,2,34
2020-11-29,76,8,2,31
2020-12-06,75,8,2,32
2020-12-13,69,9,2,32
2020-12-20,69,8,2,29
2020-12-27,69,8,2,30
2021-01-03,63,7,3,27
2021-01-10,63,8,2,28
2021-01-17,70,7,2,29
2021-01-24,63,8,2,28
2021-01-31,72,8,2,31
2021-02-07,67,7,2,29
2021-02-14,69,8,3,30
2021-02-21,68,9,3,33
2021-02-28,69,9,3,33
2021-03-07,68,8,2,31
2021-03-14,71,7,2,29
2021-03-21,69,8,3,30
2021-03-28,72,9,3,32
2021-04-04,68,9,2,32
2021-04-11,73,9,3,32
2021-04-18,68,9,3,34
2021-04-25,71,9,2,32
2021-05-02,71,10,3,34
2021-05-09,71,9,3,32
2021-05-16,65,8,2,30
2021-05-23,65,9,3,31
2021-05-30,67,10,3,30
2021-06-06,62,8,3,29
2021-06-13,65,9,3,27
2021-06-20,64,8,3,29
2021-06-27,68,10,2,29
2021-07-04,65,10,3,29
2021-07-11,70,9,2,29
2021-07-18,68,9,2,28
2021-07-25,68,10,2,29
2021-08-01,76,10,3,30
2021-08-08,70,10,2,30
2021-08-15,81,10,3,30
2021-08-22,83,11,3,31
2021-08-29,77,11,3,32
2021-09-05,79,9,3,31
2021-09-12,73,10,2,31
2021-09-19,73,10,2,30
2021-09-26,76,9,2,30
2021-10-03,75,9,3,30
2021-10-10,75,9,2,28
2021-10-17,74,8,2,26
2021-10-24,74,7,2,25
2021-10-31,76,8,2,27
2021-11-07,76,9,2,27
2021-11-14,81,8,2,28
2021-11-21,98,9,2,30
2021-11-28,89,8,2,30
2021-12-05,86,9,2,28
2021-12-12,80,9,2,28
2021-12-19,72,8,2,24
2021-12-26,81,8,2,24
2022-01-02,78,8,2,25
2022-01-09,72,8,2,27
2022-01-16,73,8,2,26
