Brand;Model;Gender;Sport;Price
Nike; Air Max Alpha Trainer 6;Men;All;$ 95,00
Nike; Air Monarch IV;Men;All;$ 80,00
Nike; Air Pegasus Wave;Men;All;$ 170,00
Nike; Air Zoom Pegasus 41 SP;Men;All;$ 140,00
Nike; Alphafly 3;Men;All;$ 295,00
Nike;" Alphafly 3 ""Faith Kipyegon""";Women;All;$ 295,00
Nike; Bella 7;Women;All;$ 85,00
Nike; Calm;Women;All;$ 50,00
Nike; Downshifter 13;Men;Running;$ 60,97
Nike; Downshifter 13;Women;Running;$ 56,97
Nike; Dragonfly 2;Unisex;All;$ 170,00
Nike; Dragonfly 2 Elite;Unisex;All;$ 200,00
Nike; Dragonfly XC;Unisex;All;$ 170,00
Nike; Flex Control 4;Men;All;$ 59,97
Nike; Flex Experience Run 12;Men;Running;$ 75,00
Nike; Flex Experience Run 12;Men;Running;$ 75,00
Nike; Flex Experience Run 12;Women;Running;$ 75,00
Nike; Free Metcon 6;Men;All;$ 125,00
Nike; Free Metcon 6;Women;All;$ 125,00
Nike; Free RN 2018;Women;Running;$ 60,97
Nike; Free Run 2018;Men;Running;$ 65,97
Nike; Free Run 5.0;Men;Running;$ 65,97
Nike; Free Run Flyknit 2018;Men;Running;$ 90,97
Nike; Free Run Flyknit 2018;Women;Running;$ 89,97
Nike; Free TR 8;Women;All;$ 55,97
Nike; Freek;Men;All;$ 125,00
Nike; Fury;Unisex;All;$ 90,00
Nike; G.T. Cut 3;Unisex;Basketball;$ 200,00
Nike; G.T. Cut 3 Turbo;Unisex;Basketball;$ 210,00
Nike; G.T. Cut Academy;Unisex;Basketball;$ 95,00
Nike; G.T. Hustle 3;Unisex;Basketball;$ 170,97
Nike; G.T. Jump Academy;Unisex;Basketball;$ 80,00
Nike; High Jump Elite;Unisex;All;$ 105,97
Nike; HyperAce 3;Unisex;All;$ 125,00
Nike; HyperAce 3 SE;Unisex;All;$ 130,00
Nike; Hyperdunk 2017 Low;Unisex;Basketball;$ 78,97
Nike; HyperSpeed Court;Unisex;All;$ 90,00
Nike; Inflict;Unisex;All;$ 110,00
Nike; In-Season TR 13;Women;All;$ 72,97
Nike; In-Season TR 14;Women;All;$ 75,00
Nike; Interact Run;Men;Running;$ 58,97
Nike; Interact Run;Women;Running;$ 63,97
Nike; Interact Run EasyOn;Men;Running;$ 68,97
Nike; Interact Run EasyOn;Women;Running;$ 85,00
Nike; Invincible 3;Women;Running;$ 190,00
Nike; Invincible 3;Men;Running;$ 133,97
Nike; Journey Run;Women;Running;$ 90,00
Nike; Journey Run;Men;Running;$ 72,97
Nike; Juniper Trail 2 GORE-TEX;Men;Running;$ 135,00
Nike; Juniper Trail 3;Men;Running;$ 90,00
Nike; Kiger 10;Men;Running;$ 170,00
Nike; Legend Essential 2 Premium;Women;Training;$ 39,97
Nike; Long Jump Elite;Unisex;All;$ 127,97
Nike; Lunargato II;Unisex;Soccer;$ 125,00
Nike; Maxfly 2;Unisex;All;$ 200,00
Nike; MC Trainer 2;Unisex;All;$ 68,97
Nike; MC Trainer 3;Men;All;$ 80,00
Nike; MC Trainer 3;Women;All;$ 60,97
Nike; Mercurial Superfly 10 Academy;Unisex;Soccer;$ 84,97
Nike; Mercurial Superfly 10 Academy;Unisex;Soccer;$ 70,97
Nike; Mercurial Superfly 10 Academy;Unisex;Soccer;$ 70,97
Nike; Mercurial Superfly 10 Academy;Unisex;Soccer;$ 100,00
Nike; Mercurial Superfly 10 Academy LV8;Unisex;Soccer;$ 110,00
Nike; Mercurial Superfly 10 Club;Unisex;Soccer;$ 58,97
Nike; Mercurial Superfly 10 Elite;Unisex;Soccer;$ 295,00
Nike; Mercurial Superfly 10 Pro;Unisex;Soccer;$ 155,00
Nike; Mercurial Vapor 16 Academy;Unisex;Soccer;$ 90,00
Nike; Mercurial Vapor 16 Academy;Unisex;Soccer;$ 90,00
Nike; Mercurial Vapor 16 Academy;Unisex;Soccer;$ 90,00
Nike; Mercurial Vapor 16 Academy;Unisex;Soccer;$ 90,00
Nike; Mercurial Vapor 16 Academy LV8;Unisex;Soccer;$ 90,00
